Legal Structure,"Size. small  30 and under members
medium  30 - 99 members
large  100 + ",What was your turnover in November 2014?,What is your annual turnover? ,These income figures are per :,Shop,Corporate income,Grants or public funds,Membership,Bureau service,Courses and training - public,Courses and training - teachers and educators,Space hire,Event space hire,Caf_,Donations or sponsorship,Parties or social events,Coworking / rented desk or office space,Other,These expenditure figures are per:,Premises cost,Insurance ,Utility cost,Staff costs,Equipment purchase,Equipment maintenance,Events and hospitality,Marketing,Do you pay business rates? ,"If yes, how much do you pay for business rates?",Do you recieved any of the below types of business rates relief?,Does your makerspace have access to credit?
"Company limited by guarantee, Not for profit",medium,,,Year,£30.00,£0.00,£0.00,"3,000",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,,year,2640,"£15 public, product, and employer",0,0,0,0,0,0,No,,Charitable rate relief,no
For profit,large,"£3,000.00","£36,000.00",Year,£500.00,"£1,000.00",,"6,000",,,,,6000,,120000,12000,3600,,year,60000,Fab Lab insurance at 1.3K pcm,6000,48000,n/a,0,,0,Yes,900,,no
Not for profit,small,"£3,000.00","£501,118.00",,Not available yet,Not available yet,,,,,,,,,,,,,,Not available yet,,,,,,,,,,,
CIC,large,"£12,000.00","£200,000.00",Year,,£0.00,"£35,000.00","£43,000.00","£15,000.00","£28,000.00",,"£17,000.00",,,,,,,year,0,"£377 per month
 - Employers Liability
 - Public Liability
 - Building
 - Contents",4800,81252,0,2400,,"6,000.00",Yes,1366,Small business rates relief,no
"Charity, Not for profit",large,N/A,N/A,Year,,,,,,,,,,,,,,S.E.U.P.B,Year,N/A,Public Liability Insurance -  £14000,N/A,"130,000.00","100,000.00",N/A,N/A,N/A,No,,,No
Company limited by guarantee,small,£400.00,"£4,000.00",Year,,,,"2,400",,,,,,,480,,,,year,3900,,600,0,0,0,,0,No,,,no
"Cooperative, Industrial and provident society, Not for profit",small,,"£70,000.00",,,,,,,,,,,,,,,,,,"Public liability, professional indemnity",,,,,,,Yes,8000,,no
Company limited by guarantee,large,"£7,500.00","£102,000.00",Year,,,,"£93,000.00",,,,,,,"£10,000.00",,,,Year,0,"1700
Directors and Officers
Public and professional liability",0,0,"4,000.00",500,300,450,Yes,2233,Charitable rate relief,director's loan
"Informal collaboration, Likely to go CIC",small,£0.00,£0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Unincorporated association,small,£160.00,"£1,300.00",Year,,,,"£1,200.00",,£100.00,,,,,,,,,Year,900,,,,50,,,,No,,,no
"CIC, Not for profit",small,none really yet,none really yet,,,,,founder members will chip in £100 or so to get going,,,,,,,,,,,,,,,,,,,,No,,,
CIC,large,,"£350,000.00",Year,,,,,,,,,£0.00,,,,,,,,,,,,,,,Yes,,Small business rates relief,no
Company limited by guarantee,medium,,,Year,£50.00,,,"8,400",,,,,,,9600,,,,year,9000,Public liability insurance,1200,0,0,600,,0,Yes,0,Small business rates relief,No
"Company limited by guarantee, Not for profit",medium,,,,,,,90%,,,,,,,10%,,,,year,9000,"30, liability",1800,0,0,0,,,No,,Small business rates relief,No
Charity,large,N/A,N/A,,,,,,,,,,,,,,,Private funding. Founders.,,,,,,,,,,,,,NO
"Unincorporated association, plan to  be a CLG",medium,£510.00,Unsure--treasurer has data.,Year,£0.00,£0.00,£0.00,"5,580",£0.00,£0.00,£0.00,£0.00,£0.00,600,£0.00,£0.00,£0.00,,year,3000,"None of our own at the moment, the venue has some.",<£30,0,0,0,"0 normally, £50 sometimes","<£10 in the months we do it, 0 the rest",No,We have a license contract with a charity atm.,"Not directly. License cost is bound to be less though because the organization we rent from has several grants, but at the same time they wouldn't be able to afford this building without those grants.","We haven't checked, but I doubt it."
